,0
event_0,-230.04368096289315
event_1,-108.8436809628932
event_2,-198.8436809628932
event_3,-99.2436809628932
event_4,-245.6436809628932
event_5,-238.44368096289318
event_6,-271.6436809628932
event_7,-169.64368096289317
event_8,-339.24368096289317
event_9,-242.04368096289315
event_10,-92.04368096289318
event_11,-179.24368096289314
event_12,-177.6436809628932
event_13,-82.44368096289318
event_14,-133.64368096289314
event_15,-289.64368096289314
event_16,-252.44368096289315
event_17,-140.44368096289315
event_18,-255.24368096289314
event_19,-303.6436809628932
event_20,-151.2436809628932
event_21,-252.84368096289316
event_22,-178.4436809628932
event_23,-368.4436809628931
event_24,-306.84368096289313
event_25,-199.64368096289317
event_26,-345.64368096289314
event_27,-344.0436809628931
event_28,-116.8436809628932
event_29,-374.84368096289313
event_30,-214.04368096289315
event_31,-378.0436809628931
event_32,-304.44368096289315
event_33,-229.64368096289317
event_34,-257.64368096289314
event_35,-214.44368096289315
event_36,-232.04368096289318
event_37,-322.4436809628931
event_38,-110.84368096289319
event_39,-339.64368096289326
event_40,-578.4436809628933
event_41,-141.2436809628932
event_42,-107.64368096289317
event_43,-155.6436809628932
event_44,-388.0436809628932
event_45,-114.04368096289318
event_46,-128.04368096289318
event_47,-532.4436809628932
event_48,-103.64368096289317
event_49,-223.24368096289317
event_50,-104.44368096289317
event_51,-311.2436809628932
event_52,-224.84368096289316
event_53,-148.04368096289318
event_54,-274.8436809628932
event_55,-308.8436809628932
event_56,-125.64368096289317
event_57,-551.243680962893
event_58,-240.44368096289313
event_59,-182.44368096289315
event_60,-182.04368096289315
event_61,-303.6436809628932
event_62,-135.64368096289314
event_63,-289.64368096289314
event_64,-110.04368096289318
event_65,-209.24368096289317
event_66,-314.44368096289315
event_67,-146.84368096289316
event_68,-144.44368096289315
event_69,-226.84368096289316
event_70,-140.84368096289322
event_71,-108.44368096289318
event_72,-198.84368096289316
event_73,-271.2436809628931
event_74,-164.44368096289315
event_75,-546.8436809628931
event_76,-174.44368096289315
event_77,-313.2436809628931
event_78,-133.64368096289317
event_79,-95.64368096289319
event_80,-165.64368096289317
event_81,-302.44368096289315
event_82,-348.8436809628931
event_83,-254.04368096289312
event_84,-529.2436809628932
event_85,-152.4436809628932
event_86,-185.24368096289317
event_87,-298.04368096289323
event_88,-155.2436809628932
event_89,-132.4436809628932
event_90,-191.2436809628932
event_91,-114.04368096289319
event_92,-225.64368096289317
event_93,-448.8436809628931
event_94,-90.84368096289317
event_95,-188.04368096289315
event_96,-148.04368096289318
event_97,-398.44368096289304
event_98,-380.8436809628932
event_99,-434.0436809628932
event_100,-259.64368096289314
event_101,-355.24368096289317
event_102,-106.44368096289317
event_103,-228.04368096289315
event_104,-297.6436809628931
event_105,-179.64368096289317
event_106,-165.6436809628932
event_107,-133.64368096289314
event_108,-538.0436809628931
event_109,-294.44368096289315
event_110,-177.6436809628932
event_111,-373.24368096289317
event_112,-137.64368096289317
event_113,-98.84368096289319
event_114,-189.64368096289323
event_115,-261.6436809628932
event_116,-231.64368096289314
event_117,-405.6436809628931
event_118,-146.8436809628932
event_119,-245.64368096289317
event_120,-158.44368096289318
event_121,-170.04368096289318
event_122,-439.2436809628931
