,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52
9,54.0,51.0,52.0,53.0,52.0,55.0,52.0,50.0,48.0,53.0,52.0,51.0,53.0,52.0,52.0,53.0,53.0,49.0,53.0,52.0,53.0,52.0,51.0,-89.0,53.0,51.0,51.0,54.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,56.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0,53.0,54.0,53.0,52.0,51.0,55.0,53.0,53.0,53.0,54.0
10,53.0,52.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,50.0,53.0,51.0,51.0,53.0,53.0,51.0,53.0,51.0,53.0,54.0,54.0,-3.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0,52.0,53.0,53.0,53.0,51.0,54.0,53.0,53.0,54.0,52.0,52.0,53.0,51.0,53.0,54.0,53.0,52.0,54.0,52.0,52.0,51.0,51.0
11,53.0,53.0,52.0,51.0,51.0,54.0,53.0,53.0,52.0,54.0,50.0,55.0,54.0,52.0,55.0,53.0,52.0,54.0,52.0,52.0,55.0,53.0,53.0,30.0,55.0,53.0,54.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,51.0,54.0,53.0,51.0,51.0,51.0,51.0,54.0,53.0,52.0,50.0,52.0,51.0,51.0,53.0,51.0,51.0,51.0,54.0
12,51.0,52.0,52.0,52.0,53.0,51.0,50.0,53.0,52.0,52.0,55.0,53.0,51.0,52.0,54.0,53.0,54.0,50.0,53.0,52.0,52.0,51.0,51.0,37.0,52.0,55.0,52.0,53.0,54.0,54.0,52.0,50.0,52.0,53.0,54.0,55.0,53.0,51.0,54.0,52.0,52.0,55.0,53.0,51.0,53.0,51.0,54.0,51.0,53.0,54.0,54.0,50.0,53.0
13,52.0,51.0,53.0,52.0,55.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0,54.0,54.0,52.0,52.0,53.0,49.0,52.0,52.0,51.0,54.0,53.0,46.0,50.0,54.0,53.0,53.0,53.0,54.0,54.0,52.0,53.0,53.0,53.0,56.0,52.0,54.0,54.0,52.0,52.0,53.0,52.0,51.0,53.0,54.0,52.0,52.0,53.0,50.0,50.0,54.0,51.0
14,52.0,54.0,52.0,50.0,51.0,51.0,52.0,53.0,52.0,51.0,53.0,52.0,53.0,52.0,53.0,54.0,52.0,54.0,54.0,52.0,53.0,52.0,54.0,46.0,52.0,54.0,54.0,52.0,52.0,52.0,55.0,54.0,51.0,52.0,53.0,51.0,54.0,51.0,53.0,53.0,51.0,54.0,53.0,53.0,54.0,52.0,51.0,51.0,54.0,50.0,50.0,51.0,52.0
15,54.0,52.0,53.0,51.0,54.0,51.0,51.0,54.0,52.0,52.0,52.0,53.0,53.0,50.0,52.0,52.0,53.0,54.0,53.0,51.0,52.0,53.0,54.0,36.0,52.0,52.0,53.0,53.0,54.0,52.0,52.0,51.0,53.0,54.0,52.0,51.0,54.0,51.0,52.0,52.0,52.0,54.0,51.0,50.0,53.0,52.0,52.0,54.0,53.0,51.0,51.0,53.0,51.0
16,52.0,51.0,51.0,52.0,53.0,55.0,52.0,53.0,52.0,51.0,53.0,52.0,51.0,52.0,51.0,54.0,53.0,49.0,51.0,54.0,51.0,51.0,54.0,41.0,51.0,52.0,54.0,52.0,51.0,52.0,51.0,52.0,50.0,52.0,53.0,55.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,52.0,52.0,51.0,51.0,50.0,50.0,52.0,53.0
17,52.0,55.0,51.0,52.0,52.0,52.0,51.0,55.0,54.0,52.0,54.0,53.0,52.0,54.0,53.0,51.0,50.0,53.0,55.0,52.0,52.0,54.0,54.0,47.0,53.0,52.0,51.0,53.0,52.0,52.0,53.0,51.0,50.0,49.0,54.0,52.0,53.0,52.0,53.0,51.0,52.0,52.0,51.0,52.0,54.0,54.0,53.0,51.0,53.0,51.0,51.0,51.0,52.0
18,52.0,53.0,53.0,49.0,51.0,51.0,52.0,53.0,54.0,53.0,51.0,51.0,52.0,51.0,52.0,51.0,52.0,57.0,53.0,54.0,53.0,51.0,53.0,47.0,51.0,52.0,56.0,51.0,54.0,52.0,51.0,53.0,51.0,52.0,51.0,46.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,50.0,53.0,53.0,53.0,55.0,52.0,51.0,51.0,53.0,51.0
