,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49
9,52.0,54.0,50.0,54.0,54.0,54.0,52.0,51.0,52.0,52.0,53.0,52.0,52.0,54.0,51.0,54.0,51.0,54.0,54.0,52.0,51.0,53.0,52.0,53.0,55.0,52.0,52.0,54.0,53.0,53.0,51.0,54.0,51.0,54.0,52.0,52.0,51.0,52.0,55.0,54.0,54.0,55.0,53.0,53.0,52.0,53.0,56.0,53.0,52.0,53.0
10,52.0,54.0,52.0,52.0,53.0,51.0,53.0,53.0,55.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,51.0,52.0,51.0,51.0,52.0,53.0,52.0,53.0,53.0,52.0,50.0,51.0,54.0,51.0,55.0,50.0,55.0,52.0,53.0,52.0,54.0,53.0,53.0,52.0,55.0,51.0,52.0,51.0,53.0,52.0,52.0,52.0,53.0
11,54.0,53.0,53.0,53.0,51.0,52.0,51.0,54.0,51.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,51.0,50.0,53.0,52.0,54.0,52.0,53.0,51.0,55.0,53.0,51.0,52.0,52.0,53.0,51.0,54.0,53.0,54.0,53.0,52.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,52.0,53.0,51.0
12,54.0,53.0,51.0,53.0,55.0,51.0,52.0,50.0,54.0,53.0,53.0,51.0,53.0,54.0,51.0,53.0,52.0,52.0,53.0,51.0,53.0,54.0,52.0,55.0,54.0,51.0,52.0,53.0,52.0,50.0,51.0,53.0,51.0,53.0,52.0,53.0,52.0,53.0,52.0,54.0,52.0,55.0,53.0,52.0,52.0,54.0,52.0,51.0,54.0,53.0
13,53.0,51.0,52.0,55.0,53.0,53.0,52.0,52.0,52.0,52.0,56.0,54.0,54.0,50.0,51.0,52.0,52.0,51.0,52.0,53.0,53.0,53.0,51.0,51.0,54.0,51.0,53.0,51.0,53.0,51.0,52.0,53.0,52.0,52.0,52.0,54.0,53.0,52.0,52.0,52.0,54.0,52.0,53.0,52.0,53.0,53.0,51.0,53.0,53.0,51.0
14,52.0,54.0,52.0,53.0,53.0,54.0,50.0,53.0,52.0,53.0,54.0,51.0,54.0,50.0,52.0,52.0,53.0,51.0,54.0,52.0,51.0,51.0,51.0,52.0,53.0,50.0,52.0,52.0,55.0,52.0,53.0,53.0,49.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,55.0,53.0,51.0,51.0,53.0,52.0,52.0,54.0,52.0
15,53.0,52.0,52.0,53.0,51.0,52.0,52.0,51.0,54.0,53.0,55.0,54.0,55.0,52.0,52.0,53.0,54.0,53.0,49.0,52.0,53.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,51.0,50.0,52.0,51.0,54.0,51.0,53.0,53.0,51.0,51.0,53.0,52.0,53.0,54.0,53.0,53.0,53.0,51.0,52.0,54.0,51.0
16,55.0,52.0,52.0,53.0,51.0,53.0,52.0,52.0,54.0,53.0,53.0,52.0,54.0,53.0,50.0,53.0,52.0,52.0,51.0,52.0,54.0,51.0,52.0,50.0,52.0,53.0,51.0,53.0,54.0,53.0,51.0,52.0,54.0,52.0,53.0,52.0,54.0,52.0,51.0,55.0,53.0,53.0,53.0,54.0,51.0,53.0,52.0,55.0,52.0,52.0
17,51.0,54.0,52.0,53.0,52.0,53.0,51.0,54.0,53.0,53.0,53.0,54.0,53.0,52.0,52.0,54.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0,52.0,53.0,50.0,51.0,50.0,51.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,49.0,53.0,52.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,53.0
18,50.0,51.0,53.0,52.0,49.0,52.0,52.0,52.0,53.0,52.0,53.0,52.0,51.0,51.0,52.0,53.0,50.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,53.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,50.0,53.0,51.0,52.0,51.0,54.0,52.0,53.0,52.0,52.0,53.0,54.0,52.0,52.0
19,53.0,53.0,52.0,51.0,53.0,53.0,52.0,53.0,54.0,52.0,52.0,52.0,54.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,55.0,53.0,53.0,54.0,55.0,53.0,53.0,52.0,54.0,51.0,53.0,52.0,53.0,52.0,53.0,54.0,50.0
20,52.0,54.0,53.0,52.0,53.0,54.0,53.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,51.0,55.0,54.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,51.0,52.0,52.0,54.0,50.0,53.0,52.0,53.0,53.0,55.0,53.0,53.0,51.0,54.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,54.0,53.0,52.0,55.0,52.0
21,54.0,53.0,52.0,55.0,52.0,53.0,51.0,52.0,54.0,54.0,51.0,51.0,53.0,50.0,52.0,51.0,50.0,53.0,53.0,52.0,52.0,51.0,52.0,52.0,55.0,52.0,52.0,53.0,52.0,53.0,53.0,50.0,51.0,52.0,52.0,53.0,51.0,52.0,51.0,54.0,53.0,54.0,52.0,53.0,51.0,54.0,53.0,55.0,54.0,52.0
22,50.0,53.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,51.0,52.0,52.0,51.0,53.0,51.0,55.0,54.0,51.0,52.0,52.0,55.0,53.0,52.0,52.0,56.0,50.0,53.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,53.0,51.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,54.0,52.0
23,54.0,53.0,50.0,53.0,51.0,52.0,53.0,50.0,52.0,52.0,52.0,51.0,53.0,53.0,52.0,52.0,50.0,51.0,51.0,52.0,54.0,52.0,52.0,51.0,54.0,52.0,52.0,51.0,53.0,53.0,53.0,51.0,52.0,54.0,52.0,53.0,53.0,53.0,54.0,51.0,54.0,51.0,52.0,54.0,53.0,53.0,54.0,52.0,55.0,52.0
24,53.0,55.0,52.0,54.0,51.0,50.0,50.0,52.0,55.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,51.0,51.0,52.0,50.0,54.0,53.0,49.0,53.0,54.0,53.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,53.0,53.0,55.0,50.0,53.0,53.0,50.0,54.0,55.0,54.0,50.0,53.0,53.0,52.0,52.0,52.0,53.0
25,53.0,54.0,53.0,51.0,52.0,52.0,52.0,52.0,53.0,54.0,52.0,53.0,53.0,53.0,51.0,54.0,51.0,52.0,52.0,53.0,53.0,51.0,51.0,52.0,54.0,50.0,52.0,52.0,53.0,52.0,49.0,52.0,54.0,53.0,50.0,54.0,52.0,51.0,54.0,50.0,53.0,54.0,52.0,53.0,52.0,51.0,52.0,53.0,51.0,54.0
26,54.0,53.0,51.0,54.0,52.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0,51.0,52.0,51.0,52.0,55.0,51.0,51.0,52.0,53.0,54.0,52.0,51.0,52.0,53.0,54.0,54.0,52.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,53.0,53.0
27,52.0,52.0,51.0,52.0,53.0,51.0,52.0,52.0,54.0,54.0,54.0,53.0,51.0,51.0,52.0,56.0,52.0,51.0,51.0,52.0,53.0,52.0,52.0,53.0,53.0,51.0,52.0,53.0,52.0,51.0,52.0,52.0,52.0,54.0,53.0,54.0,52.0,53.0,52.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,53.0,54.0,51.0,52.0
28,52.0,51.0,51.0,55.0,51.0,53.0,49.0,52.0,52.0,53.0,53.0,54.0,54.0,48.0,52.0,52.0,53.0,51.0,52.0,51.0,52.0,52.0,52.0,53.0,53.0,51.0,53.0,53.0,52.0,52.0,50.0,50.0,53.0,53.0,52.0,54.0,54.0,53.0,52.0,52.0,53.0,51.0,53.0,54.0,53.0,53.0,53.0,54.0,50.0,52.0
29,51.0,54.0,52.0,52.0,52.0,54.0,52.0,55.0,53.0,52.0,52.0,52.0,54.0,52.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,54.0,53.0,50.0,52.0,52.0,51.0,53.0,54.0,54.0,52.0,53.0,52.0,51.0,55.0,52.0,52.0,53.0,54.0,50.0,53.0,54.0,54.0
30,52.0,53.0,51.0,52.0,52.0,52.0,54.0,52.0,52.0,53.0,53.0,54.0,53.0,51.0,52.0,53.0,53.0,52.0,51.0,53.0,51.0,52.0,52.0,53.0,52.0,53.0,54.0,54.0,53.0,54.0,52.0,51.0,52.0,52.0,50.0,53.0,53.0,54.0,52.0,51.0,53.0,56.0,55.0,52.0,53.0,54.0,50.0,53.0,52.0,53.0
31,53.0,52.0,52.0,53.0,53.0,51.0,50.0,53.0,52.0,55.0,52.0,53.0,54.0,52.0,53.0,51.0,50.0,52.0,52.0,53.0,53.0,53.0,52.0,50.0,53.0,54.0,51.0,52.0,55.0,53.0,54.0,52.0,53.0,54.0,51.0,52.0,53.0,54.0,52.0,55.0,55.0,55.0,55.0,54.0,52.0,52.0,52.0,54.0,51.0,52.0
32,51.0,55.0,51.0,54.0,52.0,54.0,53.0,51.0,52.0,54.0,52.0,53.0,51.0,52.0,51.0,55.0,56.0,52.0,54.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,52.0,54.0,54.0,51.0,51.0,53.0,54.0,53.0,51.0,54.0,51.0,55.0,53.0,52.0,53.0,52.0,52.0,53.0,54.0,54.0,52.0,52.0,53.0,55.0
33,53.0,55.0,51.0,51.0,53.0,53.0,52.0,51.0,53.0,52.0,51.0,53.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,51.0,53.0,53.0,52.0,52.0,53.0,51.0,53.0,53.0,52.0,53.0,52.0,52.0,51.0,55.0,52.0,52.0,52.0,53.0,51.0,50.0,53.0,51.0,53.0,54.0,54.0,53.0,54.0,53.0,54.0,50.0
34,52.0,53.0,52.0,51.0,54.0,52.0,51.0,54.0,52.0,51.0,51.0,52.0,54.0,51.0,53.0,56.0,51.0,51.0,53.0,54.0,54.0,53.0,52.0,52.0,52.0,54.0,52.0,53.0,53.0,55.0,52.0,54.0,53.0,53.0,55.0,52.0,54.0,55.0,51.0,54.0,53.0,53.0,52.0,54.0,53.0,52.0,52.0,52.0,55.0,52.0
35,51.0,53.0,53.0,54.0,52.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0,51.0,52.0,51.0,51.0,52.0,50.0,51.0,53.0,54.0,53.0,54.0,53.0,51.0,53.0,51.0,54.0,52.0,54.0,52.0,53.0,55.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,55.0,54.0,53.0,54.0,55.0,53.0,53.0,52.0
36,54.0,53.0,50.0,54.0,53.0,50.0,50.0,51.0,53.0,54.0,52.0,53.0,52.0,50.0,54.0,51.0,52.0,53.0,51.0,53.0,56.0,52.0,52.0,51.0,53.0,52.0,51.0,51.0,53.0,52.0,54.0,49.0,51.0,51.0,52.0,53.0,51.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,50.0,53.0,54.0,54.0,51.0,52.0
37,52.0,53.0,52.0,52.0,51.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,51.0,52.0,54.0,53.0,52.0,52.0,54.0,53.0,52.0,53.0,52.0,54.0,51.0,53.0,50.0,53.0,53.0,52.0,53.0,54.0,52.0,53.0,52.0,52.0,52.0,51.0,53.0,54.0,54.0,52.0,56.0,54.0,52.0,51.0,52.0,53.0,53.0
38,52.0,53.0,53.0,53.0,52.0,51.0,51.0,54.0,50.0,52.0,51.0,53.0,52.0,52.0,51.0,53.0,52.0,53.0,51.0,53.0,52.0,51.0,54.0,53.0,52.0,51.0,52.0,54.0,52.0,53.0,53.0,51.0,52.0,52.0,53.0,51.0,54.0,53.0,53.0,53.0,55.0,53.0,55.0,53.0,52.0,52.0,52.0,53.0,51.0,51.0
39,53.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0,53.0,53.0,51.0,54.0,53.0,53.0,55.0,54.0,52.0,52.0,53.0,54.0,54.0,51.0,50.0,53.0,53.0,52.0,53.0,54.0,51.0,54.0,52.0,51.0,53.0,51.0,55.0,51.0,52.0,53.0,53.0,54.0,54.0,52.0,53.0,53.0,51.0,53.0,52.0,55.0,52.0
40,53.0,54.0,53.0,51.0,52.0,54.0,52.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,52.0,51.0,51.0,55.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,54.0,51.0,52.0,55.0,51.0,51.0,53.0,51.0,52.0,51.0,51.0,55.0,51.0,52.0,53.0,52.0,55.0,54.0,53.0,51.0,52.0
41,52.0,55.0,51.0,53.0,54.0,52.0,51.0,52.0,51.0,52.0,53.0,53.0,53.0,53.0,51.0,53.0,50.0,54.0,52.0,53.0,53.0,54.0,52.0,52.0,54.0,53.0,52.0,53.0,53.0,53.0,52.0,51.0,53.0,53.0,52.0,51.0,52.0,53.0,53.0,53.0,51.0,55.0,53.0,52.0,52.0,52.0,52.0,55.0,52.0,52.0
42,51.0,52.0,51.0,54.0,53.0,55.0,52.0,52.0,51.0,53.0,53.0,54.0,52.0,54.0,52.0,53.0,54.0,54.0,53.0,54.0,53.0,52.0,52.0,51.0,54.0,54.0,53.0,54.0,53.0,54.0,51.0,51.0,55.0,52.0,52.0,53.0,52.0,54.0,53.0,52.0,51.0,54.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0,53.0
43,52.0,51.0,51.0,53.0,52.0,51.0,52.0,52.0,50.0,52.0,54.0,52.0,51.0,51.0,52.0,53.0,52.0,51.0,52.0,52.0,51.0,51.0,53.0,50.0,55.0,53.0,53.0,53.0,53.0,51.0,52.0,52.0,54.0,52.0,51.0,53.0,54.0,53.0,54.0,51.0,53.0,55.0,53.0,55.0,53.0,53.0,52.0,53.0,51.0,53.0
44,51.0,52.0,54.0,52.0,53.0,52.0,53.0,55.0,52.0,53.0,53.0,51.0,54.0,54.0,52.0,52.0,52.0,50.0,53.0,51.0,52.0,53.0,53.0,52.0,56.0,51.0,51.0,53.0,52.0,52.0,52.0,54.0,52.0,52.0,50.0,52.0,53.0,54.0,54.0,51.0,52.0,54.0,51.0,53.0,51.0,54.0,52.0,51.0,52.0,53.0
45,53.0,52.0,53.0,51.0,52.0,52.0,52.0,52.0,55.0,54.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,55.0,53.0,54.0,52.0,53.0,55.0,51.0,52.0,51.0,54.0,54.0,51.0,52.0,50.0,52.0,51.0,52.0,53.0,52.0,53.0,52.0,53.0,51.0,54.0,52.0,53.0,51.0,52.0
46,56.0,53.0,53.0,53.0,52.0,53.0,53.0,50.0,52.0,52.0,54.0,53.0,51.0,52.0,53.0,54.0,51.0,52.0,52.0,52.0,54.0,53.0,54.0,53.0,55.0,52.0,51.0,53.0,55.0,52.0,53.0,52.0,52.0,53.0,53.0,54.0,52.0,54.0,52.0,54.0,53.0,55.0,53.0,52.0,51.0,55.0,51.0,53.0,53.0,53.0
47,52.0,53.0,52.0,53.0,52.0,51.0,54.0,53.0,53.0,51.0,52.0,53.0,51.0,54.0,51.0,54.0,53.0,53.0,51.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,51.0,54.0,53.0,51.0,52.0,54.0,52.0,53.0,51.0,53.0,54.0,54.0,51.0,51.0,53.0,54.0,52.0,54.0,53.0,51.0,52.0,51.0,53.0,54.0
48,54.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0,54.0,51.0,54.0,53.0,51.0,52.0,51.0,53.0,51.0,51.0,53.0,54.0,52.0,52.0,53.0,51.0,52.0,52.0,53.0,53.0,54.0,51.0,52.0,52.0,52.0,51.0,51.0,52.0,52.0,51.0,52.0,53.0,55.0,54.0,53.0,53.0,54.0,52.0,54.0,52.0,53.0,52.0
49,53.0,53.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,50.0,52.0,52.0,52.0,54.0,51.0,52.0,54.0,52.0,52.0,51.0,53.0,51.0,54.0,52.0,52.0,54.0,54.0,52.0,53.0,52.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,55.0,52.0,53.0,52.0,54.0,53.0,53.0,49.0,51.0,55.0,53.0
50,52.0,53.0,54.0,54.0,52.0,53.0,52.0,52.0,53.0,53.0,54.0,54.0,53.0,52.0,51.0,53.0,53.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,52.0,54.0,51.0,53.0,51.0,53.0,51.0,51.0,52.0,54.0,52.0,53.0,52.0,50.0,52.0,53.0,52.0,53.0,54.0,54.0,52.0,53.0,51.0,53.0,51.0,53.0
51,52.0,53.0,51.0,52.0,52.0,53.0,49.0,54.0,53.0,53.0,53.0,51.0,52.0,52.0,51.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,52.0,52.0,55.0,53.0,52.0,51.0,52.0,52.0,51.0,52.0,51.0,53.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,55.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,51.0
52,51.0,53.0,52.0,53.0,53.0,54.0,55.0,52.0,52.0,53.0,53.0,48.0,54.0,53.0,52.0,53.0,54.0,53.0,53.0,51.0,53.0,54.0,54.0,53.0,52.0,52.0,53.0,51.0,53.0,51.0,51.0,53.0,53.0,53.0,51.0,54.0,52.0,52.0,53.0,51.0,51.0,53.0,52.0,54.0,55.0,50.0,51.0,52.0,52.0,52.0
53,51.0,52.0,52.0,51.0,53.0,54.0,52.0,49.0,54.0,53.0,53.0,53.0,54.0,54.0,53.0,53.0,52.0,53.0,53.0,54.0,52.0,52.0,54.0,53.0,54.0,51.0,50.0,53.0,51.0,51.0,50.0,52.0,53.0,54.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,51.0
54,53.0,53.0,51.0,53.0,53.0,53.0,51.0,53.0,51.0,51.0,53.0,51.0,51.0,52.0,54.0,55.0,54.0,52.0,52.0,52.0,53.0,52.0,49.0,54.0,53.0,51.0,53.0,54.0,51.0,53.0,52.0,52.0,53.0,52.0,49.0,55.0,51.0,56.0,53.0,54.0,54.0,52.0,55.0,52.0,54.0,53.0,52.0,55.0,53.0,50.0
55,53.0,51.0,52.0,52.0,51.0,53.0,52.0,52.0,52.0,54.0,54.0,50.0,53.0,53.0,51.0,54.0,51.0,52.0,54.0,54.0,54.0,54.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,51.0,52.0,51.0,54.0,51.0,53.0,53.0,53.0,52.0,52.0,51.0,54.0,53.0,54.0,52.0,52.0,53.0,54.0,53.0,51.0,52.0
56,54.0,54.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,50.0,53.0,53.0,53.0,52.0,50.0,53.0,51.0,54.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0,52.0,54.0,54.0,52.0,53.0,52.0,53.0,51.0,54.0,52.0,54.0,51.0,53.0,50.0,54.0,52.0,51.0,53.0,53.0,52.0,54.0,53.0,51.0
57,51.0,53.0,53.0,52.0,53.0,54.0,51.0,51.0,53.0,54.0,55.0,54.0,54.0,51.0,53.0,54.0,53.0,50.0,52.0,52.0,54.0,52.0,53.0,54.0,54.0,51.0,52.0,51.0,53.0,53.0,52.0,51.0,51.0,51.0,51.0,56.0,50.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0,53.0,50.0,52.0,51.0,51.0
58,53.0,52.0,51.0,55.0,54.0,55.0,52.0,55.0,53.0,52.0,51.0,54.0,53.0,51.0,53.0,55.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0,51.0,51.0,51.0,53.0,54.0,53.0,53.0,52.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0
59,53.0,53.0,51.0,54.0,55.0,51.0,54.0,54.0,52.0,51.0,51.0,50.0,51.0,52.0,52.0,54.0,54.0,52.0,54.0,52.0,53.0,54.0,52.0,51.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,51.0,52.0,51.0,53.0,54.0,52.0,54.0,54.0,51.0,55.0,52.0,52.0,54.0,52.0,49.0,53.0,53.0,52.0
60,52.0,53.0,53.0,52.0,52.0,52.0,53.0,49.0,53.0,52.0,50.0,53.0,53.0,51.0,51.0,52.0,54.0,52.0,53.0,52.0,54.0,52.0,53.0,52.0,53.0,52.0,53.0,54.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,52.0,49.0,51.0,52.0,51.0,51.0,52.0,51.0,51.0,53.0,53.0,54.0,54.0,52.0,53.0
61,53.0,52.0,53.0,54.0,52.0,52.0,51.0,52.0,54.0,53.0,53.0,50.0,52.0,50.0,53.0,53.0,52.0,52.0,54.0,52.0,53.0,54.0,50.0,52.0,52.0,54.0,53.0,51.0,55.0,52.0,53.0,51.0,51.0,53.0,53.0,53.0,51.0,52.0,52.0,53.0,51.0,55.0,53.0,54.0,53.0,53.0,51.0,53.0,52.0,51.0
62,53.0,56.0,52.0,51.0,53.0,53.0,54.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,51.0,53.0,50.0,52.0,53.0,51.0,54.0,53.0,53.0,52.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,54.0,53.0,52.0,53.0,51.0,51.0,54.0,54.0,53.0,53.0,52.0,52.0,52.0,52.0,54.0,54.0
63,52.0,53.0,52.0,53.0,53.0,54.0,54.0,53.0,54.0,52.0,54.0,52.0,53.0,52.0,53.0,52.0,52.0,50.0,54.0,52.0,55.0,52.0,54.0,51.0,53.0,52.0,53.0,52.0,53.0,52.0,51.0,50.0,52.0,53.0,54.0,52.0,52.0,53.0,51.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0,52.0,53.0,49.0
64,51.0,51.0,51.0,52.0,54.0,53.0,52.0,53.0,54.0,52.0,53.0,52.0,51.0,53.0,55.0,53.0,53.0,51.0,55.0,52.0,51.0,51.0,52.0,50.0,54.0,53.0,51.0,53.0,51.0,52.0,53.0,54.0,53.0,54.0,53.0,52.0,52.0,55.0,51.0,53.0,52.0,53.0,52.0,54.0,53.0,53.0,52.0,51.0,53.0,52.0
