,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49
time_epoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,52.0,54.0,53.0,53.0,53.0,51.0,51.0,54.0,50.0,52.0,50.0,52.0,52.0,52.0,52.0,53.0,54.0,53.0,54.0,54.0,51.0,55.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0,53.0,50.0,52.0,54.0,51.0,54.0,52.0,52.0,53.0,53.0,51.0,51.0,52.0,53.0,52.0,51.0,52.0,53.0,50.0,54.0
1,53.0,51.0,51.0,51.0,52.0,54.0,52.0,53.0,52.0,52.0,51.0,54.0,53.0,51.0,51.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,51.0,53.0,52.0,51.0,52.0,54.0,53.0,54.0,52.0,52.0,54.0,54.0,51.0,52.0,50.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0,52.0,54.0
2,53.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0,51.0,53.0,52.0,52.0,54.0,52.0,51.0,54.0,51.0,53.0,53.0,52.0,53.0,52.0,51.0,52.0,52.0,55.0,54.0,51.0,53.0,53.0,52.0,52.0,52.0,51.0,54.0,51.0,52.0,54.0,52.0,50.0,52.0,53.0,51.0,52.0,52.0,54.0,53.0,53.0,52.0
3,53.0,53.0,51.0,52.0,53.0,52.0,52.0,54.0,53.0,52.0,52.0,51.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,54.0,54.0,51.0,54.0,54.0,53.0,52.0,53.0,51.0,53.0,51.0,53.0,51.0,55.0,54.0,53.0,53.0,51.0,52.0,51.0,53.0
4,53.0,52.0,53.0,52.0,51.0,51.0,53.0,53.0,51.0,51.0,53.0,51.0,53.0,55.0,52.0,52.0,54.0,52.0,55.0,50.0,53.0,52.0,51.0,51.0,53.0,52.0,53.0,54.0,54.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,55.0
5,53.0,51.0,53.0,54.0,53.0,53.0,54.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,48.0,53.0,52.0,52.0,50.0,54.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,51.0,51.0,53.0,53.0,52.0,52.0,54.0,53.0,51.0,53.0,49.0,52.0,52.0,52.0,52.0,52.0,51.0,53.0,52.0,54.0,51.0,54.0,52.0
6,50.0,53.0,53.0,53.0,51.0,55.0,51.0,52.0,51.0,51.0,52.0,52.0,53.0,53.0,50.0,52.0,51.0,54.0,53.0,53.0,52.0,53.0,50.0,54.0,52.0,53.0,52.0,54.0,52.0,53.0,53.0,51.0,53.0,55.0,51.0,52.0,52.0,52.0,51.0,53.0,51.0,51.0,54.0,53.0,52.0,51.0,53.0,51.0,54.0,53.0
7,53.0,53.0,52.0,52.0,51.0,52.0,53.0,55.0,52.0,53.0,51.0,50.0,54.0,52.0,53.0,52.0,53.0,52.0,53.0,55.0,52.0,52.0,51.0,53.0,51.0,52.0,53.0,51.0,53.0,53.0,55.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,51.0,53.0,52.0,51.0,53.0,53.0,52.0,52.0,52.0,53.0,50.0,51.0
8,53.0,53.0,50.0,52.0,52.0,52.0,54.0,53.0,52.0,52.0,52.0,52.0,55.0,51.0,55.0,52.0,54.0,53.0,51.0,51.0,52.0,52.0,52.0,51.0,53.0,52.0,51.0,51.0,50.0,52.0,54.0,51.0,54.0,54.0,51.0,53.0,53.0,51.0,53.0,53.0,53.0,50.0,54.0,52.0,51.0,52.0,52.0,52.0,53.0,51.0
9,53.0,53.0,52.0,54.0,53.0,53.0,54.0,52.0,54.0,51.0,53.0,52.0,53.0,54.0,54.0,53.0,54.0,52.0,51.0,51.0,52.0,54.0,51.0,51.0,51.0,52.0,53.0,52.0,52.0,53.0,53.0,51.0,53.0,53.0,51.0,53.0,52.0,53.0,50.0,53.0,53.0,53.0,51.0,50.0,51.0,54.0,53.0,52.0,54.0,53.0
10,53.0,52.0,51.0,51.0,52.0,52.0,52.0,53.0,52.0,53.0,53.0,51.0,53.0,53.0,52.0,52.0,52.0,52.0,54.0,52.0,51.0,52.0,53.0,54.0,52.0,50.0,53.0,51.0,54.0,52.0,52.0,52.0,51.0,52.0,52.0,53.0,53.0,54.0,51.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,51.0,51.0
11,53.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0,51.0,51.0,53.0,53.0,53.0,53.0,54.0,52.0,54.0,52.0,53.0,53.0,50.0,51.0,52.0,51.0,53.0,55.0,52.0,52.0,53.0,53.0,52.0,50.0,55.0,52.0,52.0,53.0,52.0,52.0,51.0,53.0,51.0,52.0,51.0,52.0,51.0,51.0,50.0,52.0,55.0,53.0
12,54.0,53.0,52.0,54.0,51.0,54.0,52.0,53.0,53.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,55.0,53.0,52.0,52.0,51.0,52.0,53.0,51.0,52.0,51.0,53.0,52.0,52.0,52.0,52.0,54.0,54.0,49.0,51.0,52.0,52.0,50.0,52.0,53.0,52.0,49.0,52.0,54.0,53.0,52.0,52.0,53.0,52.0,52.0
13,54.0,52.0,51.0,52.0,52.0,53.0,52.0,54.0,51.0,50.0,51.0,54.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,52.0,53.0,50.0,52.0,52.0,51.0,52.0,53.0,52.0,52.0,51.0,51.0,52.0,52.0,51.0,55.0,53.0,55.0,53.0,54.0,53.0,51.0,54.0,53.0,52.0,51.0,52.0
14,52.0,52.0,52.0,51.0,52.0,52.0,53.0,52.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,54.0,54.0,54.0,53.0,51.0,52.0,53.0,52.0,52.0,49.0,51.0,51.0,53.0,52.0,52.0,51.0,53.0,54.0,52.0
